run_id,source_domain_seed,bellman_noise_seed,bias_level,noise_level,bellman_noise_level,method,target_performance,normalized_performance,oracle_performance,policy_error_rate,map_name,discount,stepsize,sync_period,iterations,source_domain_base_seed,bellman_noise_base_seed,aggregation_noise_seed,evaluation_type,target_domain,source_randomness,noise_location,uncertainty_distance,robust_backup_type,source_index,perturb_epsilon,empirical_gamma_l1,mean_local_l1_radius,similarity_weight
0,2026,3000,0.0,0.0,0.0,Maximum-based,0.4146403617999878,1.0,0.4146403617999878,0.078125,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,3000,0.0,0.0,0.0,Similarity-aware,0.4144956961647513,0.9996511057567852,0.4146403617999878,0.0625,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,3000,0.002,0.002,0.002,Maximum-based,0.414640361799988,1.0000000000000004,0.4146403617999878,0.203125,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,3000,0.002,0.002,0.002,Similarity-aware,0.4144956961647513,0.9996511057567852,0.4146403617999878,0.234375,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,3000,0.004,0.004,0.004,Maximum-based,0.41449066071425145,0.9996389616170348,0.4146403617999878,0.1875,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,3000,0.004,0.004,0.004,Similarity-aware,0.41449066071425145,0.9996389616170348,0.4146403617999878,0.265625,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,3000,0.006,0.006,0.006,Maximum-based,0.4121256644530167,0.9939352326048178,0.4146403617999878,0.203125,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,3000,0.006,0.006,0.006,Similarity-aware,0.41449066071425145,0.9996389616170348,0.4146403617999878,0.25,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,3000,0.008,0.008,0.008,Maximum-based,0.4121256644530167,0.9939352326048178,0.4146403617999878,0.203125,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,3000,0.008,0.008,0.008,Similarity-aware,0.41449066071425145,0.9996389616170348,0.4146403617999878,0.25,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,3000,-1.0,-1.0,-1.0,metadata,,,,,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,0.0,0.01,0.024992912806844958,0.009559211168238092,0.3961350353772109
0,2026,3000,-1.0,-1.0,-1.0,metadata,,,,,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,1.0,0.015,0.03784405183674722,0.014180262692494613,0.2616184693487644
0,2026,3000,-1.0,-1.0,-1.0,metadata,,,,,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,2.0,0.02,0.04701704974649895,0.019451971651461293,0.2105779501135454
0,2026,3000,-1.0,-1.0,-1.0,metadata,,,,,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,3.0,0.03,0.07519512616579793,0.028157072953697262,0.13166854516047916
1,2027,3001,0.0,0.0,0.0,Maximum-based,0.4146403617999878,1.0,0.4146403617999878,0.0625,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
1,2027,3001,0.0,0.0,0.0,Similarity-aware,0.4144956961647513,0.9996511057567852,0.4146403617999878,0.0625,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
1,2027,3001,0.002,0.002,0.002,Maximum-based,0.41449569616475146,0.9996511057567856,0.4146403617999878,0.171875,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
1,2027,3001,0.002,0.002,0.002,Similarity-aware,0.4144956961647513,0.9996511057567852,0.4146403617999878,0.125,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
1,2027,3001,0.004,0.004,0.004,Maximum-based,0.4038697883662476,0.9740243005119321,0.4146403617999878,0.21875,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
1,2027,3001,0.004,0.004,0.004,Similarity-aware,0.4144906607142513,0.9996389616170345,0.4146403617999878,0.140625,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
1,2027,3001,0.006,0.006,0.006,Maximum-based,0.4038697883662476,0.9740243005119321,0.4146403617999878,0.21875,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
1,2027,3001,0.006,0.006,0.006,Similarity-aware,0.4144906607142513,0.9996389616170345,0.4146403617999878,0.140625,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
1,2027,3001,0.008,0.008,0.008,Maximum-based,0.3931783652646408,0.948239490139892,0.4146403617999878,0.234375,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
1,2027,3001,0.008,0.008,0.008,Similarity-aware,0.4144906607142513,0.9996389616170345,0.4146403617999878,0.140625,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
1,2027,3001,-1.0,-1.0,-1.0,metadata,,,,,8x8,0.99,0.5,5,500,2026,3000,-1,exact,fixed,perturbation_seed,bellman_backup_only,support_restricted_tv_l1,exact_support_restricted_l1,0.0,0.01,0.025909340703001105,0.009576237659404152,0.38495032281059965
