seed,bad_source_gamma,method,normalized_performance,target_performance,oracle_performance,bad_source_weight,actual_bad_source_gamma,bad_source_mixing_coefficient,bad_source_nominal_transfer_performance,bad_source_local_gamma_max,bad_source_local_gamma_mean,penalty_type,p_norm,robust_q,sync_period,stepsize,source_index,source_type,prescribed_source_gamma,actual_source_gamma,local_gamma_max,local_gamma_mean,uniform_weight,similarity_weight
0,0.9,Uniform,0.9834293631541202,15.392880365637316,15.65224808446663,0.25,0.9,0.4499999999999999,15.122576736203936,0.9,0.8526442500594029,state_action_local,1,inf,1,0.01,,,,,,,,
0,0.9,Similarity-aware,0.9960654903483381,15.59066416330809,15.65224808446663,0.057143197277965664,0.9,0.4499999999999999,15.122576736203936,0.9,0.8526442500594029,state_action_local,1,inf,1,0.01,,,,,,,,
0,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09208857446067491,0.25,0.5142842040916229
0,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18868845432901962,0.25,0.25714338774989315
0,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.30000000000000004,0.30000000000000004,0.27898912624055455,0.25,0.17142921088051835
0,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,0.9,0.9,0.9,0.8526442500594029,0.25,0.057143197277965664
0,1.2,Uniform,0.9962148042291273,15.593001261212656,15.65224808446663,0.25,1.2,0.5999999999999999,14.700172315362162,1.2,1.141593411291987,state_action_local,1,inf,1,0.01,,,,,,,,
0,1.2,Similarity-aware,0.9962148042291273,15.593001261212656,15.65224808446663,0.04347853497099396,1.2,0.5999999999999999,14.700172315362162,1.2,1.141593411291987,state_action_local,1,inf,1,0.01,,,,,,,,
0,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09208857446067491,0.25,0.5217376370609066
0,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18868845432901962,0.25,0.26087012286802425
0,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.30000000000000004,0.30000000000000004,0.27898912624055455,0.25,0.1739137051000754
0,1.2,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.2,1.2,1.2,1.141593411291987,0.25,0.04347853497099396
0,1.5,Uniform,0.9881773934315679,15.467197713452485,15.65224808446663,0.25,1.5,0.7499999999999999,14.38433576016674,1.5,1.4025496672310078,state_action_local,1,inf,1,0.01,,,,,,,,
0,1.5,Similarity-aware,0.9962148042291273,15.593001261212656,15.65224808446663,0.03508794808610418,1.5,0.7499999999999999,14.38433576016674,1.5,1.4025496672310078,state_action_local,1,inf,1,0.01,,,,,,,,
0,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09208857446067491,0.25,0.5263143090279532
0,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18868845432901962,0.25,0.26315847029317024
0,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.30000000000000004,0.30000000000000004,0.27898912624055455,0.25,0.17543927259277253
0,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.5,1.5,1.5,1.4025496672310078,0.25,0.03508794808610418
0,1.8,Uniform,0.9833279420801798,15.391292897827007,15.65224808446663,0.25,1.8,0.8999999999999998,13.804538473528178,1.8,1.6956543223556366,state_action_local,1,inf,1,0.01,,,,,,,,
0,1.8,Similarity-aware,0.9896937228971513,15.490931678425584,15.65224808446663,0.029411960783929263,1.8,0.8999999999999998,13.804538473528178,1.8,1.6956543223556366,state_action_local,1,inf,1,0.01,,,,,,,,
0,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09208857446067491,0.25,0.5294102941273933
0,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18868845432901962,0.25,0.2647064705828143
